Language name,Alternate language names,Country,Region,Resource Title,Resource URL,"Resource type (please only choose from the dropdown list, don't type anything here!)",
!Ora,"Korana, Khoemana, Griqua, Xiri, Xri","South Africa, Namibia",Africa,Cultural Survival informational audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus-ora,Audio,
Acehnese,"بهسا اچيه, Bahsa Acèh",Indonesia,Southeast Asia,Symptoms & prevention poster,https://twitter.com/iloveaceh/status/1241012772483153920,Image/poster,
Achi',,Guatemala,Mexico-Central America-Caribbean,Cultural Survival informational audio message,https://soundcloud.com/culturalsurvival/coronavirus-idioma-achi-academia-de-lenguas-mayas-de-guatemala,Audio,
Achi',,Guatemala,Mexico-Central America-Caribbean,Informational video,https://www.youtube.com/watch?v=mNWATmiqVX0&feature=youtu.be,Video,
Acholi,"Acoli, Lwo","Uganda, South Sudan",Africa,Fact sheet from Maine CDC,https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/documents/COVID-19-FS_Acholi_Final.pdf,Document,
Aḍiya,"Ravula, Adiyan, Yerava",India,South Asia,WHO myth busters information page,https://covid-no-mb.org/?page_id=1997,Web page,
Afrikaans,,South Africa,Africa,Medical terminology glossary from Oxford Languages,https://oxford.ly/OLC19Afrikaans,Document,
Afrikaans,,South Africa,Africa,Cultural Survival audio message,https://soundcloud.com/culturalsurvival/understanding-the-coronavirus_afrikaans,Audio,
Afrikaans,,South Africa,Africa,Prevention with facts video,https://www.youtube.com/watch?v=CuAfAQz48bE,Video,
Afrikaans,,South Africa,Africa,Prevention video,https://www.youtube.com/watch?v=j1gmFfFsYCM&feature=emb_logo,Video,
Aghem,"Wum, Yum",Cameroon,Africa,How to make hand sanitizer video,https://www.youtube.com/watch?v=6WqTkwVISkk,Video,
Aghem,"Wum, Yum",Cameroon,Africa,Information and prevention audio message from VirALLanguages,https://archive.org/download/virALLanguages_Aghem_V4,Audio,
Aghem,"Wum, Yum",Cameroon,Africa,Information video from VirALLanguages,https://www.youtube.com/watch?v=bfM5QjOd3yg,Video,
Aguaruna,Awajún,Peru,South America,Cultural Survival prevention audio message,https://soundcloud.com/culturalsurvival/coronavirus-idioma-awajun-prevencion-y-cuidado,Audio,
Aguaruna,Awajún,Peru,South America,Prevention infographic,https://www.facebook.com/malcridas/photos/pcb.2820790881371416/2820786788038492/?type=3&theater,Image/poster,
Ahanta,Ayinda,Ghana,Africa,WHO 7 steps audio message,https://drive.google.com/file/d/1X33UbqQaLWl3gcJfrE99E9QmElFcZ12G/view?usp=sharing,Audio,
Ahom,Tai-Ahom,India,South Asia,"""Do the 5"" poster from Translation Commons",https://translationcommons.org/covid19multilingual/?uid=aho-000,Image/poster,
Ajumbu,Mbu',Cameroon,Africa,Information audio from VirALLanguages,https://archive.org/download/virallanguages_Ajumbu_V1,Audio,
Ajumbu,Mbu',Cameroon,Africa,Information video from VirALLanguages,https://archive.org/details/virallanguages_Ajumbu_V1,Video,
Akan,,"Ghana, Ivory Coast",Africa,Information video from VirALLanguages,https://www.youtube.com/watch?v=72TuCBKwxUg,Video,
Akan,,"Ghana, Ivory Coast",Africa,Translated prevention video from Ghanaian govt.,https://drive.google.com/file/d/1DgeJC5vq3rXJfxwiZOQfLxSkkvb_O0ck/view?usp=sharing,Video,
Akateko,Qanjobal,"Guatemala, Mexico",Mexico-Central America-Caribbean,Cultural Survival audio message,https://soundcloud.com/culturalsurvival/coronavirus-idioma-akateko-academia-de-lenguas-mayas-de-guatemala,Audio,
Akateko,Qanjobal,"Guatemala, Mexico",Mexico-Central America-Caribbean,INALI prevention brochure,https://site.inali.gob.mx/Micrositios/materiales_de_prevencion_covid-19/pdf/covid_akateko.pdf,Document,
Akateko,Qanjobal,"Guatemala, Mexico",Mexico-Central America-Caribbean,Prevention video,https://vimeo.com/401138175,Video,
Akateko,Qanjobal,"Guatemala, Mexico",Mexico-Central America-Caribbean,Prevention video,https://www.youtube.com/watch?v=eT2ISW-Pbtc,Video,
Akateko,Qanjobal,"Guatemala, Mexico",Mexico-Central America-Caribbean,Informational video,https://www.youtube.com/watch?v=GbR6duEPEWs,Video,
Aklanon,Akeanon,Philippines,Southeast Asia,Kids' coloring book with prevention info from Philippine Science High School,http://www.publiscience.org/wp-content/uploads/2020/08/KaC-Akeanon.pdf,Document,
Aklanon,Akeanon,Philippines,Southeast Asia,Prevention and information posters,https://drive.google.com/open?id=1vmm9OJvbykSOFP6SEI7bB9F4n8IezmbS,Image/poster,
Aklanon,Akeanon,Philippines,Southeast Asia,WHO crowd-translated infographic (suggest revisions here),https://www.facebook.com/spvnya/posts/3144473102230476?hc_location=ufi,Image/poster,
Albanian,shqip,Albania,Europe,"""About COVID-19"" from COVID-19 Health Literacy Project",https://drive.google.com/file/d/1jaPQHR4LlYFtkzhHpStoF0wrOk9bFZv-/view,Document,
Albanian,shqip,Albania,Europe,"""What to do if you're sick"" from COVID-19 Health Literacy Project",https://drive.google.com/file/d/1dPodj_xNhrjxNuLI8lhmNrjPXw3Eboc7/view,Document,
Albanian,shqip,Albania,Europe,"""COVID-19 for 3-6 year-olds"" from COVID-19 Health Literacy Project",https://drive.google.com/file/d/1YIl_d_-dQPOMiCHtxwdFgJY6tTnMHzVu/view,Document,
Albanian,shqip,Albania,Europe,"""COVID-19 for 3-6 year-olds"" from COVID-19 Health Literacy Project",https://drive.google.com/file/d/1YIl_d_-dQPOMiCHtxwdFgJY6tTnMHzVu/view,Document,
